item_id,item_kind,label,paper_id,year,section,evidence,paraphrase
CSSA145.benchmark.large_molecules,benchmark,Li/Be compounds and C2 beyond exact diagonalization regimes,NQSC145,2024,Results,[redacted_for_public_release],"The benchmarks include larger Li/Be compounds and C2 in cc-pVDZ, including Hilbert spaces beyond FCI practicality."
CSSA145.result.speedup_scale,result_claim,Single-GPU ANQS reaches large Hilbert spaces with major speedups,NQSC145,2024,abstract,[redacted_for_public_release],The paper reports faster single-GPU simulations up to 118 qubits and roughly 10^15 determinants.
CSSA145.interpretation.peaked_blessing,interpretation,Peaked molecular wavefunctions can be exploited rather than merely mitigated,NQSC145,2024,Discussion,[redacted_for_public_release],The authors reinterpret peakedness as a source of sampling efficiency.
CSSA145.limitation.c2,limitation,C2 remains hard despite increased unique samples,NQSC145,2024,C2 molecule in cc-pvdz basis set,[redacted_for_public_release],The C2 benchmark exposes a limitation of the current ANQS strategy.
CSSA145.future.scaling_architecture,future_work,Multi-GPU scaling and fermionic architectures are future improvement paths,NQSC145,2024,Discussion,[redacted_for_public_release],The paper proposes multi-GPU parallelization and better fermionic architectures as future directions.
NQSC127.paper.01,paper,Neural-network quantum states for many-body physics review,NQSC127,2024,abstract,[redacted_for_public_release],"Review/meta paper covering VMC equations, optimization variants, tomography, implementation bottlenecks, and recent applications."
NQSC127.problem.01,problem,Exponential Hilbert-space amplitudes make lookup-table wave functions infeasible,NQSC127,2024,Variational quantum state definition,[redacted_for_public_release],The review frames compact variational representations as necessary because direct amplitude enumeration is not efficient for many-body systems.
NQSC127.method.01,method,Neural quantum states define wave-function amplitudes with neural networks,NQSC127,2024,Variational quantum state definition,[redacted_for_public_release],NQS are reviewed as variational states whose amplitudes are represented partly or fully by neural networks.
NQSC127.method.02,method,NQS sampling splits into MCMC and autoregressive exact sampling,NQSC127,2024,Sampling,[redacted_for_public_release],The review identifies MCMC and autoregressive states as the two major sampling routes for NQS calculations.
NQSC127.problem.02,problem,Gradient-based optimization is a central NQS bottleneck,NQSC127,2024,Introduction,[redacted_for_public_release],The review frames optimization of neural-network parameters from stochastic estimates as one of the main challenges for NQS.
NQSC127.method.03,method,QNG/SR geometry and minSR reduce optimizer-scaling overhead,NQSC127,2024,Stochastic optimization,[redacted_for_public_release],"The review summarizes QNG/SR as accurate but costly, and minSR as a scalability route for large-parameter NQS."
NQSC127.method.04,method,"Symmetry in NQS can use direct symmetrization, projections, or equivariant networks",NQSC127,2024,Symmetries,[redacted_for_public_release],"The review classifies symmetry handling as direct symmetrization, post-optimization projection, and symmetry-equivariant architectures, with explicit cost tradeoffs."
NQSC127.benchmark.01,benchmark,Spin systems and J1-J2 variants are core NQS benchmark regimes,NQSC127,2024,Ground-state properties of spin systems,[redacted_for_public_release],"The review highlights interacting spin systems, especially J1-J2 and related lattices, as a major benchmark/application family for NQS architectures."
NQSC127.interpretation.01,interpretation,Deep NQS can represent efficiently contractable tensor networks and exceed MPS expressivity regimes,NQSC127,2024,"Expressive power, entanglement entropy and connections to tensor networks",[redacted_for_public_release],The review summarizes expressivity results connecting tensor-network contraction to deep neural-network representations.
NQSC127.limitation.01,limitation,NQS expressivity does not remove TN/DMRG advantages or unknown energy-landscape risks,NQSC127,2024,"Expressive power, entanglement entropy and connections to tensor networks",[redacted_for_public_release],"The review cautions that despite NQS expressivity, tensor-network approaches retain contraction and optimization advantages, and NQS landscapes remain insufficiently understood."
NQSC127.problem.03,problem,Second-quantized fermionic Hamiltonians make local-energy evaluation scale rapidly,NQSC127,2024,Ground-state properties of fermionic systems,[redacted_for_public_release],The review identifies fourth-power orbital scaling and wave-function-evaluation cost as a bottleneck for fermionic electronic-structure NQS.
NQSC127.method.05,method,Fermionic NQS taxonomy separates non-determinant and determinant-based parametrizations,NQSC127,2024,Symmetrization considerations,[redacted_for_public_release],The review organizes fermionic NQS into non-determinant and determinant-based ansatz families tied to basis ordering and antisymmetry handling.
NQSC127.method.06,method,"Backflow-based fermionic NQS branch includes FermiNet, PauliNet, and attention variants",NQSC127,2024,Backflow correlations,[redacted_for_public_release],"The review presents neural backflow as a determinant-based development branch that includes FermiNet, PauliNet, and later self-attention parametrizations."
NQSC127.future_work.01,future_work,Scaling real-time NQS requires alternatives to QGT-inverse t-VMC,NQSC127,2024,Concluding remarks and outlook,[redacted_for_public_release],The review identifies QGT-inverse scaling and projective alternatives as an open real-time NQS direction.
DTO134.paper,paper,Simulating Non-Markovian Open Quantum Dynamics with Neural Quantum States,NQSC134,2024,title,[redacted_for_public_release],Paper node for NQS-DQME non-Markovian dynamics.
DTO134.problem.nonmarkovian_memory_scaling,problem,Non-Markovian memory and HEOM scaling make open dynamics hard,NQSC134,2024,introduction,[redacted_for_public_release],"The paper motivates NQS-DQME by memory, spatial-correlation, HEOM, and TNS limits."
DTO134.method.nqs_dqme_dissipatons,method,Encode dissipaton-augmented DQME dynamics with NQS,NQSC134,2024,abstract/introduction,[redacted_for_public_release],The method represents non-Markovian dissipaton dynamics with neural quantum states.
DTO134.method.rbm_rdt_physicality,method,RBM representation of the reduced dissipaton tensor preserves Hermiticity and positivity,NQSC134,2024,supplement,[redacted_for_public_release],The supplement describes a physical RBM representation for the reduced dissipaton tensor.
DTO134.method.sparse_filter_hybrid_sampling,method,Use sparse RDT filtering and hybrid enumeration/MCMC sampling,NQSC134,2024,supplement,[redacted_for_public_release],The implementation combines sparsity filtering with hybrid sampling to reduce cost.
DTO134.benchmark.heom_mps,benchmark,HEOM and MPS-HEOM non-Markovian benchmark comparisons,NQSC134,2024,supplement,[redacted_for_public_release],The paper compares against HEOM-style and MPS-HEOM baselines.
DTO134.result.sparsity_reduces_cost,result_claim,RDT sparsity filtering gives order-of-magnitude cost reduction,NQSC134,2024,supplement,[redacted_for_public_release],The paper reports a substantial reduction from sparsity filtering.
DTO134.result.higher_accuracy_fewer_params,result_claim,NQS-DQME achieves higher accuracy with fewer parameters than MPS-HEOM,NQSC134,2024,supplement,[redacted_for_public_release],The comparison reports accuracy and parameter-count advantages.
DTO134.interpretation.slowest_dissipaton,interpretation,The slowest-decaying dissipaton dominates long-time relaxation,NQSC134,2024,supplement,[redacted_for_public_release],The paper interprets learned dynamics through dissipaton lifetimes.
DTO134.limitation.low_temp_memory,limitation,Low temperature requires more dissipaton levels and increases memory errors,NQSC134,2024,numerical/supplement,[redacted_for_public_release],The paper identifies stronger memory as a low-temperature limitation.
