link_id,from_item_id,to_item_id,paper_id,year,evidence_location,evidence
A0026,DTO134.paper,DTO134.problem.nonmarkovian_memory_scaling,NQSC134,2024,text/2404.11093v4/main.tex:187-206,[redacted_for_public_release]
A0027,DTO134.paper,DTO134.method.nqs_dqme_dissipatons,NQSC134,2024,text/2404.11093v4/main.tex:171-214,[redacted_for_public_release]
A0028,DTO134.paper,DTO134.method.rbm_rdt_physicality,NQSC134,2024,text/2404.11093v4/SuppMat.tex:333-385,[redacted_for_public_release]
A0029,DTO134.paper,DTO134.method.sparse_filter_hybrid_sampling,NQSC134,2024,"text/2404.11093v4/SuppMat.tex:417-425,674-688",[redacted_for_public_release]
A0030,DTO134.paper,DTO134.benchmark.heom_mps,NQSC134,2024,text/2404.11093v4/SuppMat.tex:841-853,[redacted_for_public_release]
A0031,DTO134.paper,DTO134.result.sparsity_reduces_cost,NQSC134,2024,text/2404.11093v4/SuppMat.tex:417-425,[redacted_for_public_release]
A0032,DTO134.paper,DTO134.result.higher_accuracy_fewer_params,NQSC134,2024,text/2404.11093v4/SuppMat.tex:841-853,[redacted_for_public_release]
A0033,DTO134.paper,DTO134.interpretation.slowest_dissipaton,NQSC134,2024,text/2404.11093v4/SuppMat.tex:834,[redacted_for_public_release]
A0034,DTO134.paper,DTO134.limitation.low_temp_memory,NQSC134,2024,text/2404.11093v4/main.tex:636; text/2404.11093v4/SuppMat.tex:749-751,[redacted_for_public_release]
A0035,DTO134.method.nqs_dqme_dissipatons,DTO134.problem.nonmarkovian_memory_scaling,NQSC134,2024,text/2404.11093v4/main.tex:187-214,[redacted_for_public_release]
A0036,DTO134.method.sparse_filter_hybrid_sampling,DTO134.result.sparsity_reduces_cost,NQSC134,2024,text/2404.11093v4/SuppMat.tex:417-688,[redacted_for_public_release]
A0037,DTO134.result.higher_accuracy_fewer_params,DTO134.interpretation.slowest_dissipaton,NQSC134,2024,text/2404.11093v4/SuppMat.tex:834-853,[redacted_for_public_release]
A0038,DTO134.limitation.low_temp_memory,DTO134.problem.nonmarkovian_memory_scaling,NQSC134,2024,text/2404.11093v4/main.tex:636; text/2404.11093v4/SuppMat.tex:749-751,[redacted_for_public_release]
A0039,HPM129.paper,HPM129.problem.expensive_neural_orbitals,NQSC129,2024,sections/introduction.tex:17-18,[redacted_for_public_release]
A0040,HPM129.paper,HPM129.problem.many_determinants,NQSC129,2024,sections/introduction.tex:19-20,[redacted_for_public_release]
A0041,HPM129.paper,HPM129.method.sign_equivariant_odd,NQSC129,2024,sections/introduction.tex:22-31,[redacted_for_public_release]
A0042,HPM129.paper,HPM129.benchmark.casscf_ferminet,NQSC129,2024,sections/experiments.tex:4-5,[redacted_for_public_release]
A0043,HPM129.paper,HPM129.result.jastrow_equivalence,NQSC129,2024,main.tex:26,[redacted_for_public_release]
A0044,HPM129.paper,HPM129.result.no_advantage,NQSC129,2024,main.tex:26,[redacted_for_public_release]
A0045,HPM129.paper,HPM129.limitation.numerical_instability,NQSC129,2024,sections/conclusion.tex:4-6,[redacted_for_public_release]
A0046,NQSC127.paper.01,NQSC127.problem.01,NQSC127,2024,text/2402.11014v2/main.tex:122,[redacted_for_public_release]
A0047,NQSC127.method.01,NQSC127.problem.01,NQSC127,2024,text/2402.11014v2/main.tex:122-124,[redacted_for_public_release]
A0048,NQSC127.paper.01,NQSC127.method.02,NQSC127,2024,text/2402.11014v2/main.tex:157,[redacted_for_public_release]
A0049,NQSC127.paper.01,NQSC127.problem.02,NQSC127,2024,text/2402.11014v2/main.tex:67,[redacted_for_public_release]
A0050,NQSC127.paper.01,NQSC127.method.03,NQSC127,2024,text/2402.11014v2/main.tex:298-305,[redacted_for_public_release]
A0051,NQSC127.method.03,NQSC127.problem.02,NQSC127,2024,text/2402.11014v2/main.tex:298-305,[redacted_for_public_release]
A0052,NQSC127.paper.01,NQSC127.method.04,NQSC127,2024,text/2402.11014v2/main.tex:431-443,[redacted_for_public_release]
A0053,NQSC127.paper.01,NQSC127.benchmark.01,NQSC127,2024,text/2402.11014v2/main.tex:476,[redacted_for_public_release]
A0054,NQSC127.paper.01,NQSC127.interpretation.01,NQSC127,2024,text/2402.11014v2/main.tex:505,[redacted_for_public_release]
A0055,NQSC127.paper.01,NQSC127.limitation.01,NQSC127,2024,text/2402.11014v2/main.tex:507,[redacted_for_public_release]
A0056,NQSC127.paper.01,NQSC127.problem.03,NQSC127,2024,text/2402.11014v2/main.tex:545,[redacted_for_public_release]
A0057,NQSC127.paper.01,NQSC127.method.05,NQSC127,2024,text/2402.11014v2/main.tex:598,[redacted_for_public_release]
A0058,NQSC127.paper.01,NQSC127.future_work.01,NQSC127,2024,text/2402.11014v2/main.tex:803,[redacted_for_public_release]
A0059,OPW150.paper,OPW150.problem.strong_interaction_convergence,NQSC150,2024,main.tex:63,[redacted_for_public_release]
A0060,OPW150.paper,OPW150.method.rnn_tqs_hubbard,NQSC150,2024,main.tex:63,[redacted_for_public_release]
A0061,OPW150.paper,OPW150.method.hubbard_ramping,NQSC150,2024,main.tex:176-180,[redacted_for_public_release]
A0062,OPW150.paper,OPW150.benchmark.fhm_hnhm,NQSC150,2024,main.tex:63,[redacted_for_public_release]
A0063,OPW150.paper,OPW150.result.ramping_improves_fhm,NQSC150,2024,main.tex:248-258,[redacted_for_public_release]
A0064,OPW150.paper,OPW150.result.linear_scaling_1d,NQSC150,2024,main.tex:250,[redacted_for_public_release]
A0065,OPW150.paper,OPW150.limitation.nonhermitian_autoregressive,NQSC150,2024,main.tex:309-315,[redacted_for_public_release]
A0066,OPW150.paper,OPW150.future_work.doped_nonhermitian,NQSC150,2024,main.tex:328-330,[redacted_for_public_release]
A0067,OPW150.method.hubbard_ramping,OPW150.problem.strong_interaction_convergence,NQSC150,2024,main.tex:89,[redacted_for_public_release]
A0068,OPW150.result.ramping_improves_fhm,OPW150.limitation.nonhermitian_autoregressive,NQSC150,2024,main.tex:309-315,[redacted_for_public_release]
A0069,OPW150.limitation.nonhermitian_autoregressive,OPW150.future_work.doped_nonhermitian,NQSC150,2024,main.tex:328,[redacted_for_public_release]
