unit_id,claim_id,step_index,table_round,from_item_id,link_id,to_item_id,traversal,why_step_matters,status,expected_from_item_id,expected_to_item_id,allowed_round
unit_608,R2C1,1,round2,CSSA170.paper,B0007,OPW109.paper,forward,"Adds an explicit scalability/HPC-oriented NQS chemistry framework node into the auditable citation graph (even if via citation), supporting the “training is compute/memory limited” angle at scale.",ok,CSSA170.paper,OPW109.paper,round2
unit_608,R2C2,1,round2,NQSC164.paper,B0001,HPM011.paper,forward,"Connects a 2025 expressivity/theory paper to a known backflow-NQS branch via citation, reinforcing that ansatz expressivity/structure (determinantal vs alternatives) is a parallel axis to optimization curricula.",ok,NQSC164.paper,HPM011.paper,round2
unit_608,R2C3,1,round2,DTO178.paper,B0020,DTO031.paper,forward,"Brings in a concrete dynamics failure mode (explicit TDVP instability) and links it to prior real-time NQS literature, supporting a refined “bottleneck = stiffness/integrator instability” subcase for dynamics trajectories.",ok,DTO178.paper,DTO031.paper,round2
unit_795,C1,1,round0,APW034.method.rnn_wavefunction_autoregressive,L0006,CSS045.problem.autoregressive_symmetry_tradeoff,forward,Establishes a concrete bottleneck: exact-sampling autoregressive NQS make symmetry implementation difficult.,ok,APW034.method.rnn_wavefunction_autoregressive,CSS045.problem.autoregressive_symmetry_tradeoff,round0
unit_795,C1,2,round0,CSS045.problem.autoregressive_symmetry_tradeoff,L0006,APW034.method.rnn_wavefunction_autoregressive,reverse,Keeps the claim grounded in the core autoregressive method node rather than drifting to a disconnected critique.,ok,APW034.method.rnn_wavefunction_autoregressive,CSS045.problem.autoregressive_symmetry_tradeoff,round0
unit_795,C1,3,round0,APW034.method.rnn_wavefunction_autoregressive,L0013,HPM083.method.2d_crnn_symmetry,forward,Shows that symmetry-aware autoregressive constructions exist in practice (U(1) and lattice symmetries in 2D).,ok,APW034.method.rnn_wavefunction_autoregressive,HPM083.method.2d_crnn_symmetry,round0
unit_795,C2,1,round0,HPM026.future.alternative_sampling_deeper_networks,L0017,HPM117.method.symmetry_aware_pruning,forward,Connects the stated need for alternative sampling/deeper networks to an explicit constraint-enforcement mechanism (pruning).,ok,HPM026.future.alternative_sampling_deeper_networks,HPM117.method.symmetry_aware_pruning,round0
unit_795,C2,2,round0,APW060.method.physical_priors_constraints,L0020,HPM117.method.symmetry_aware_pruning,forward,Supports using hard physical constraints within an autoregressive ansatz via pruning unphysical branches.,ok,APW060.method.physical_priors_constraints,HPM117.method.symmetry_aware_pruning,round0
unit_795,C2,3,round0,OPW085.method.reverse_sampling_order,L0021,HPM117.method.symmetry_aware_pruning,forward,Adds that sampling-order design choices are part of the same constraint-aware pruning theme.,ok,OPW085.method.reverse_sampling_order,HPM117.method.symmetry_aware_pruning,round0
unit_795,C3,1,round0,CSSA024.method.ferminet,L0004,CSSA025.method.paulinetsjb,forward,Anchors a determinant/backflow fermionic NQS lineage from FermiNet toward PauliNet-style constructions.,ok,CSSA024.method.ferminet,CSSA025.method.paulinetsjb,round0
unit_795,C3,2,round0,CSSA025.method.paulinetsjb,L0003,CSSA051.problem.efficiency_tuning,forward,"Establishes the compute/accuracy tradeoff pressure: smaller/traditional ansatzes are cheaper but notably worse, motivating efficiency tuning.",ok,CSSA025.method.paulinetsjb,CSSA051.problem.efficiency_tuning,round0
unit_795,C3,3,round1,CSSA024.paper,A0002,CSSA025.paper,forward,"Adds an auditable link-level statement that PauliNet is backflow-based like FermiNet but incorporates cusp/Jastrow structure, refining the “lineage” context for fermionic efficiency tuning.",ok,CSSA024.paper,CSSA025.paper,round1
unit_795,C4,1,round1,DTO015.method.rbm_density_matrix,A0001,DTO134.method.nqs_dqme_dissipatons,forward,"Extends the constraint/physicality theme from mixed-state RBM physicality to a newer non-Markovian open-system NQS construction, showing constraint preservation generalizes beyond pure states.",ok,DTO015.method.rbm_density_matrix,DTO134.method.nqs_dqme_dissipatons,round1
unit_795,C5,1,round2,CSSA145.method.sampling_without_replacement,B0004,CSSA170.method.sampling_parallelism,forward,Updates the trajectory with a concrete scalable sampling method: controlling unique samples and managing memory/parallelism at scale.,ok,CSSA145.method.sampling_without_replacement,CSSA170.method.sampling_parallelism,round2
unit_795,C5,2,round2,CSSA145.method.local_energy_surrogate,B0003,CSSA170.method.energy_parallelism,forward,"Adds that local-energy evaluation is a bottleneck and can be attacked with multi-level parallelism, tying constraint-aware sampling to end-to-end training cost.",ok,CSSA145.method.local_energy_surrogate,CSSA170.method.energy_parallelism,round2
unit_795,C5,3,round2,CSSA145.method.gpu_compression,B0002,CSSA170.method.cache_optimization,forward,Adds the transformer memory/cache barrier and a concrete cache-centric remedy (pooling/recompute/lazy expansion).,ok,CSSA145.method.gpu_compression,CSSA170.method.cache_optimization,round2
