round,claim_id,step_index,from_item_id,link_id,to_item_id,traversal,why_step_matters,status,expected_from_item_id,expected_to_item_id
round2,C1,1,HPM117.paper,J0015,HPM117.problem.anqs_symmetry_sampling,forward,"Re-anchors the branch bottleneck: in autoregressive NQS, incorporating quantum-number symmetries *during sampling* is intrinsically challenging, so the intervention point is the sampling procedure itself (not only the wavefunction parameterization).",ok,HPM117.paper,HPM117.problem.anqs_symmetry_sampling
round2,C2,1,HPM117.paper,J0016,HPM117.problem.postselection_waste,forward,"Justifies online constraint handling: the naive workaround (postselecting into the right symmetry sector) wastes compute, so any efficiency gain must come from avoiding invalid branches earlier.",ok,HPM117.paper,HPM117.problem.postselection_waste
round2,C3,1,HPM117.paper,J0017,HPM117.method.symmetry_aware_pruning,forward,"Grounds the concrete mechanism: symmetry-aware pruning is an on-the-fly tree-pruning procedure over partial assignments, making feasibility a first-class control-flow element in sampling.",ok,HPM117.paper,HPM117.method.symmetry_aware_pruning
round2,C4,1,HPM117.paper,J0020,HPM117.result.chemical_accuracy_speedup,forward,"Shows the mechanism matters end-to-end: pruning-based symmetry-aware sampling can retain chemical accuracy while providing order-of-magnitude speedups, so sampler engineering is not just “overhead reduction.”",ok,HPM117.paper,HPM117.result.chemical_accuracy_speedup
round2,C5,1,HPM117.paper,J0021,HPM117.limitation.dus_sample_loss,forward,"Forces a narrowing of the idea: some pruning strategies can increase “no sample produced” events (sample-yield collapse), which can stall optimization; preventing empty-yield episodes becomes a primary design goal.",ok,HPM117.paper,HPM117.limitation.dus_sample_loss
round2,C6,1,OPW085.paper,J0025,OPW085.method.reverse_sampling_order,forward,"Supports the “ordering/policy” lever: for molecular encodings, changing the autoregressive variable order (e.g., reversing it) is explicitly used to improve sampling effectiveness, making an ordering controller a plausible companion to pruning.",ok,OPW085.paper,OPW085.method.reverse_sampling_order
round2,C7,1,OPW085.method.tensor_local_energy_parallel,J0030,OPW085.problem.local_energy_sampling_scalability,forward,"Adds the scaling constraint that interacts with sampling: local-energy evaluation is a bottleneck and is addressed via GPU tensorization/distributed batches; pruning/order changes must be compatible with high-throughput batched execution, not only reduce logical backtracking.",ok,OPW085.method.tensor_local_energy_parallel,OPW085.problem.local_energy_sampling_scalability
round2,C8,1,OPW085.paper,J0028,OPW085.result.weak_scaling_batch,forward,"Reinforces the “batching as a first-class knob” premise: large batches and parallelization can achieve near-optimal weak scaling, suggesting the pruning+ordering extension should be evaluated under large-batch regimes (where yield collapse can be especially expensive).",ok,OPW085.paper,OPW085.result.weak_scaling_batch
round2,C9,1,APW060.paper,J0009,APW060.limitation.local_energy_barrier,forward,"Connects to an older internal scaling diagnosis: after improving sampling, local-energy evaluation becomes the remaining dominant expense, so sampler-side improvements should be judged by their downstream impact on local-energy throughput and total optimization wall-clock.",ok,APW060.paper,APW060.limitation.local_energy_barrier
round2,C10,1,APW060.method.physical_priors_constraints,J0012,APW060.problem.qc_nonlocal_sample_complexity,forward,"Preserves the original motivation: hard-coding physical priors/constraints is used to cope with nonlocality/sample complexity, but it is an architectural commitment; pruning provides a way to enforce feasibility online without permanently baking in all structure into the ansatz.",ok,APW060.method.physical_priors_constraints,APW060.problem.qc_nonlocal_sample_complexity
