node_id,graph_layer,node_type,canonical_label,source_paper_id,source_year,visible_year,source_section,evidence_location,evidence_quote,paraphrase,confidence,is_inferred,needs_human_check,notes
FWP122.result.gapless_spin_liquid,evidence,result_claim,ViT evidence supports a finite gapless spin-liquid region,NQSC122,2023,2023,conclusions,main.tex:563-565,[redacted_for_public_release],The paper reports evidence for a finite gapless spin liquid.,high,false,false,""
FWP122.interpretation.nqs_feature_extractors,evidence,interpretation,NQS can be viewed as feature extractors rather than only universal approximators,NQSC122,2023,2023,conclusions,main.tex:570-573,[redacted_for_public_release],The paper interprets NQS via feature extraction.,high,false,false,""
FWP122.future_work.other_many_body,evidence,future_work,Apply transformer wavefunction approach to other many-body problems,NQSC122,2023,2023,conclusions,main.tex:575,[redacted_for_public_release],The conclusion proposes extending the approach to other many-body problems.,high,false,false,""
OPW016.paper,evidence,paper,Variational Quantum Monte Carlo Method with a Neural-Network Ansatz for Open Quantum Systems,NQSC016,2019,2019,title,metadata:title,[redacted_for_public_release],Paper node for Nagy and Savona open quantum systems NQS.,high,false,false,""
OPW016.problem.open_density_complexity,evidence,problem,Open-system density matrices scale exponentially with system size,NQSC016,2019,2019,abstract,RBM_open.tex:68-69,[redacted_for_public_release],The paper frames open quantum systems as hard because density matrices scale exponentially.,high,false,false,""
OPW016.problem.ness_prohibitive,evidence,problem,Direct NESS computation becomes prohibitive for modest systems,NQSC016,2019,2019,dynamics,RBM_open.tex:97,[redacted_for_public_release],The NESS problem is difficult because vectorized density matrices are too large.,high,false,false,""
OPW016.method.nn_density_vmc,evidence,method,Neural-network density-matrix VMC for Markovian NESS,NQSC016,2019,2019,introduction,RBM_open.tex:82,[redacted_for_public_release],The method uses a neural density matrix in VMC to approximate Markovian steady states.,high,false,false,""
OPW016.method.sr_open,evidence,method,SR is extended to open quantum-system real-time dynamics,NQSC016,2019,2019,optimization,RBM_open.tex:135-141,[redacted_for_public_release],The paper extends stochastic reconfiguration to approximate Liouvillian dynamics in parameter space.,high,false,false,""
OPW016.benchmark.dissipative_xyz,evidence,benchmark,Two-dimensional dissipative XYZ spin model,NQSC016,2019,2019,abstract,RBM_open.tex:69,[redacted_for_public_release],The method is tested on a 2D dissipative XYZ spin model.,high,false,false,""
OPW016.result.alpha_convergence,evidence,result_claim,RBM steady-state observables converge toward exact values with larger hidden density,NQSC016,2019,2019,results,RBM_open.tex:203,[redacted_for_public_release],The paper reports convergence of steady-state structure factors with increased hidden density.,high,false,false,""
OPW016.limitation.timestep_stiffness,evidence,limitation,SR timestep must shrink with system size due to stiff unitary dynamics,NQSC016,2019,2019,results,RBM_open.tex:210,[redacted_for_public_release],The paper identifies stiffness and timestep scaling as a practical limitation.,high,false,false,""
OPW016.future_work.deep_networks,evidence,future_work,Extend open-system VMC ansatz to deeper neural networks,NQSC016,2019,2019,discussion,RBM_open.tex:212,[redacted_for_public_release],The paper suggests deeper neural representations for strongly correlated open systems.,high,false,false,""
OPW028.paper,evidence,paper,Geometry of learning neural quantum states,NQSC028,2019,2019,title,metadata:title,[redacted_for_public_release],Paper node for Park and Kastoryano QFM geometry study.,high,false,false,""
OPW028.problem.black_box_learning,evidence,problem,NQS learning dynamics lacks theoretical underpinning,NQSC028,2019,2019,introduction,RBM_Smatrix_arxiv2.tex:139-142,[redacted_for_public_release],The paper frames NQS optimization as a black-box problem needing theory.,high,false,false,""
OPW028.method.qfm_geometry,evidence,method,Analyze quantum Fisher matrix geometry during RBM learning,NQSC028,2019,2019,introduction,RBM_Smatrix_arxiv2.tex:148,[redacted_for_public_release],The method studies the information geometry induced by the quantum Fisher matrix.,high,false,false,""
OPW028.benchmark.spin_models,evidence,benchmark,TFI 2D TFI coherent Gibbs and XXZ models,NQSC028,2019,2019,results,RBM_Smatrix_arxiv2.tex:416,[redacted_for_public_release],The paper tests QFM observations across several spin-model settings.,high,false,false,""
OPW028.result.qfm_phase_diagnostic,evidence,result_claim,QFM spectra reflect learning dynamics and static phase information,NQSC028,2019,2019,conclusion,RBM_Smatrix_arxiv2.tex:605,[redacted_for_public_release],The paper reports that QFM spectra/eigenvectors encode both optimization and phase structure.,high,false,false,""
OPW028.interpretation.flat_valleys,evidence,interpretation,Correlations are encoded in flat information-geometry directions,NQSC028,2019,2019,conclusion,RBM_Smatrix_arxiv2.tex:607,[redacted_for_public_release],The authors interpret flat bulk landscape directions as stable correlation representations.,high,false,false,""
OPW028.method.rmsprop_qfm_diag,evidence,method,Diagonal QFM approximation motivates a quantum RMSProp variant,NQSC028,2019,2019,optimization implication,RBM_Smatrix_arxiv2.tex:539-555,[redacted_for_public_release],The paper builds an optimizer from diagonal approximations to the QFM.,high,false,false,""
OPW028.limitation.diagonal_not_general,evidence,limitation,Diagonal QFM approximations are not generally reliable,NQSC028,2019,2019,conclusion,RBM_Smatrix_arxiv2.tex:608,[redacted_for_public_release],The paper concludes diagonal QFM approximation depends on phase and is not generally effective.,high,false,false,""
OPW053.paper,evidence,paper,Learning Neural Network Quantum States with the Linear Method,NQSC053,2021,2021,title,metadata:title,[redacted_for_public_release],Paper node for Frank and Kastoryano LM-for-NQS study.,high,false,false,""
OPW053.problem.sgd_insufficient_sr_dominant,evidence,problem,SGD is often insufficient and SR dominates high-precision NQS training,NQSC053,2021,2021,abstract,main.tex:131-132,[redacted_for_public_release],The paper motivates alternatives to SR because generic SGD is insufficient for NQS.,high,false,false,""
OPW053.problem.training_efficiency_understudied,evidence,problem,NQS training efficiency has received less attention than expressivity,NQSC053,2021,2021,introduction,main.tex:150,[redacted_for_public_release],The paper identifies training efficiency as underexplored relative to ansatz expressivity.,high,false,false,""
OPW053.method.complex_linear_method,evidence,method,Linear Method formulation for complex-valued NQS parameters,NQSC053,2021,2021,abstract,main.tex:132,[redacted_for_public_release],The paper formulates and tests the Linear Method for complex-valued NQS.,high,false,false,""
OPW053.benchmark.tfi_j1j2_chemistry,evidence,benchmark,TFI J1-J2 and molecular Hamiltonian tests,NQSC053,2021,2021,numerical results,main.tex:411-416,[redacted_for_public_release],The paper compares LM and SR across spin and chemistry examples.,high,false,false,""
OPW053.result.fewer_epochs_sampling_crossover,evidence,result_claim,LM needs fewer epochs and wins when sampling is expensive,NQSC053,2021,2021,discussion,main.tex:471,[redacted_for_public_release],The paper reports an efficiency crossover controlled by sampling cost.,high,false,false,""
OPW053.limitation.variance_fragility,evidence,limitation,LM has larger variance and sign-structure fragility,NQSC053,2021,2021,discussion,main.tex:473,[redacted_for_public_release],The paper identifies accuracy/reliability tradeoffs and phase-learning fragility for LM.,high,false,false,""
OPW053.future_work.phase_first_quantized_excited,evidence,future_work,Study better phase learning first-quantized NQS and excited-state LM,NQSC053,2021,2021,discussion,main.tex:473-475,[redacted_for_public_release],The paper suggests follow-up work on phase learning and broader LM applications.,high,false,false,""
OPW085.paper,evidence,paper,Scalable neural quantum states architecture for quantum chemistry,NQSC085,2022,2022,title,metadata:title,[redacted_for_public_release],Paper node for Zhao Stokes and Veerapaneni scalable quantum chemistry NQS.,high,false,false,""
OPW085.problem.local_energy_sampling_scalability,evidence,problem,Large molecules create local-energy and sampling scalability bottlenecks,NQSC085,2022,2022,introduction,main.tex:100-101,[redacted_for_public_release],The paper identifies two sources of NQS scaling difficulty in molecular systems.,high,false,false,""
OPW085.method.made_complex_autoregressive,evidence,method,MADE-based complex autoregressive molecular NQS,NQSC085,2022,2022,modeling,main.tex:245-254,[redacted_for_public_release],The method adapts MADE to complex-valued molecular wavefunctions with constraints.,high,false,false,""
OPW085.method.tensor_local_energy_parallel,evidence,method,GPU tensorized local-energy computation and distributed batches,NQSC085,2022,2022,parallelization,main.tex:316-378,[redacted_for_public_release],The paper parallelizes local-energy computation by tensorizing Hamiltonian information on GPUs.,high,false,false,""
OPW085.method.reverse_sampling_order,evidence,method,Reverse autoregressive sampling uses Hamiltonian/encoding structure,NQSC085,2022,2022,modeling,main.tex:268,[redacted_for_public_release],The paper improves sampling by ordering qubits according to Jordan-Wigner structure.,high,false,false,""
OPW085.benchmark.molecules_76_qubits,evidence,benchmark,Quantum chemistry molecules up to 76 qubits and millions of Hamiltonian terms,NQSC085,2022,2022,abstract,main.tex:82,[redacted_for_public_release],The method is evaluated on molecular systems up to 76 qubits.,high,false,false,""
OPW085.result.state_of_art_scaling,evidence,result_claim,Algorithm scales to 76 qubits and achieves state-of-the-art performance,NQSC085,2022,2022,experiments,main.tex:565,[redacted_for_public_release],The paper reports strong molecular energy performance and scaling.,high,false,false,""
OPW085.result.weak_scaling_batch,evidence,result_claim,Large batches improve performance and parallelization gives near-optimal weak scaling,NQSC085,2022,2022,experiments,main.tex:570-576,[redacted_for_public_release],The ablations support the batch-size and weak-scaling design logic.,high,false,false,""
OPW109.paper,evidence,paper,NNQS-Transformer: an Efficient and Scalable Neural Network Quantum States Approach for Ab initio Quantum Chemistry,NQSC109,2023,2023,title,metadata:title,[redacted_for_public_release],Paper node for Wu et al. QiankunNet transformer quantum chemistry NQS.,high,false,false,""
OPW109.problem.hundred_qubit_scaling,evidence,problem,Second-quantized NNQS remains hard to scale beyond 100 qubits,NQSC109,2023,2023,introduction,Manuscript.tex:188,[redacted_for_public_release],The paper frames 100+ qubit electronic-structure NNQS as a central bottleneck.,high,false,false,""
OPW109.problem.sr_deep_local_energy,evidence,problem,MC/SR deep-network and local-energy costs limit large electronic-structure NNQS,NQSC109,2023,2023,introduction,Manuscript.tex:188-191,[redacted_for_public_release],The paper names sampling/SR, expressivity, and local-energy cost as scaling barriers.,high,false
OPW109.method.qiankun_transformer,evidence,method,QiankunNet transformer ansatz for amplitude with MLP phase,NQSC109,2023,2023,innovations,Manuscript.tex:314-318,[redacted_for_public_release],The method uses a transformer-based autoregressive amplitude model and MLP phase model.,high,false,false,""
OPW109.method.data_parallel_bas,evidence,method,Data-centric parallel VMC with parallel batch autoregressive sampling,NQSC109,2023,2023,innovations,Manuscript.tex:348-356,[redacted_for_public_release],The paper organizes sampling local energy and gradients around distributed unique-sample batches.,high,false,false,""
OPW109.method.compressed_local_energy,evidence,method,Compressed Hamiltonian and sample-aware GPU local-energy evaluation,NQSC109,2023,2023,local energy,Manuscript.tex:409-418,[redacted_for_public_release],The paper reduces memory/computation for local-energy evaluation using compressed Pauli-string structure.,high,false,false,""
OPW109.benchmark.chemistry_120_qubits,evidence,benchmark,Real chemical systems including benzene with 120 qubits,NQSC109,2023,2023,evaluation,Manuscript.tex:652,[redacted_for_public_release],The method is tested on large molecular systems including 120-qubit benzene.,high,false,false,""
OPW109.result.accuracy_and_speedup,evidence,result_claim,Transformer NNQS matches NAQS accuracy improves MADE and gives large local-energy speedups,NQSC109,2023,2023,evaluation,Manuscript.tex:600-640,[redacted_for_public_release],The paper reports competitive accuracy and around 4000x local-energy speedup versus CPU baseline.,high,false,false,""
OPW109.limitation.bas_parallel_tradeoff,evidence,limitation,Batched autoregressive sampling can trade sampling savings against parallelization efficiency,NQSC109,2023,2023,evaluation,Manuscript.tex:673,[redacted_for_public_release],The paper notes larger-scale parallelization may suffer from unique-sample fluctuations and tree structure.,high,false,false,""
OPW150.paper,evidence,paper,Autoregressive neural quantum states of Fermi Hubbard models,NQSC150,2024,2024,title,metadata:title,[redacted_for_public_release],Paper node for Ibarra-Garcia-Padilla et al. autoregressive Hubbard NQS.,high,false,false,""
OPW150.problem.strong_interaction_convergence,evidence,problem,RNN convergence becomes difficult as interaction strength increases,NQSC150,2024,2024,abstract,main.tex:63,[redacted_for_public_release],The paper frames strong-coupling convergence as a key issue for autoregressive NQS.,high,false,false,""
OPW150.method.rnn_tqs_hubbard,evidence,method,RNN and autoregressive transformer NQS for FHM and HNHM,NQSC150,2024,2024,abstract,main.tex:63,[redacted_for_public_release],The paper applies autoregressive RNN and transformer states to correlated electron models.,high,false,false,""
OPW150.method.hubbard_ramping,evidence,method,Physics-motivated ramping of Hubbard tunneling during training,NQSC150,2024,2024,methods,main.tex:176-180,[redacted_for_public_release],The paper proposes ramping model parameters to improve VMC convergence.,high,false,false,""
OPW150.benchmark.fhm_hnhm,evidence,benchmark,1D/2D Fermi-Hubbard and 1D Hatano-Nelson-Hubbard models,NQSC150,2024,2024,abstract,main.tex:63,[redacted_for_public_release],The paper evaluates autoregressive NQS on Hermitian and non-Hermitian Hubbard models.,high,false,false,""
OPW150.result.ramping_improves_fhm,evidence,result_claim,Ramping improves FHM convergence especially in 2D,NQSC150,2024,2024,results,main.tex:248-258,[redacted_for_public_release],The paper reports that ramping outperforms plain or hybrid VMC in FHM tests.,high,false,false,""
OPW150.result.linear_scaling_1d,evidence,result_claim,1D FHM accuracy can remain roughly flat with system size under fixed training,NQSC150,2024,2024,results,main.tex:250,[redacted_for_public_release],The paper reports evidence for favorable scaling in 1D FHM settings.,high,false,false,""
OPW150.limitation.nonhermitian_autoregressive,evidence,limitation,Autoregressive sampling direction causes non-Hermitian convergence failures,NQSC150,2024,2024,results,main.tex:309-315,[redacted_for_public_release],The paper identifies a sampling-direction failure mode in HNHM for RNN/TQS.,high,false,false,""
OPW150.future_work.doped_nonhermitian,evidence,future_work,Future work on non-Hermitian architectures and doped Hubbard systems,NQSC150,2024,2024,conclusions,main.tex:328-330,[redacted_for_public_release],The paper proposes SR/symmetry for non-Hermitian cases and doped Hubbard applications.,high,false,false,""
APW001.paper,evidence,paper,Efficient Representation of Quantum Many-body States with Deep Neural Networks,NQSC001,2017,2017,title,metadata:title,[redacted_for_public_release],Paper node for Gao and Duan DBM expressivity study.,high,false,false,""
APW001.problem.exponential_state_representation,evidence,problem,Quantum many-body states generally require exponentially many parameters,NQSC001,2017,2017,abstract,Deep-Neural-Network-arxiv.tex:49-51,[redacted_for_public_release],The paper frames many-body state representation as an exponential-size challenge.,high,false,false,""
APW001.problem.rbm_power_limitation,evidence,problem,RBM representational power and limitations need characterization,NQSC001,2017,2017,introduction,Deep-Neural-Network-arxiv.tex:92-94,[redacted_for_public_release],The paper identifies RBM expressivity limits as an open question.,high,false,false,""
APW001.method.dbm_representation,evidence,method,Deep Boltzmann machine representation for physical quantum states,NQSC001,2017,2017,introduction,Deep-Neural-Network-arxiv.tex:96-100,[redacted_for_public_release],The method characterizes RBM and DBM representations for many-body states.,high,false,false,""
APW001.result.dbm_represents_physical_states,evidence,result_claim,DBMs efficiently represent circuit states and gapped local-Hamiltonian ground states,NQSC001,2017,2017,introduction,Deep-Neural-Network-arxiv.tex:98-110,[redacted_for_public_release],The paper proves efficient DBM representation for broad physical state classes.,high,false,false,""
APW001.result.tensor_networks_sparse_dbm,evidence,result_claim,Tensor network states can be represented by sparse DBMs,NQSC001,2017,2017,tensor-network construction,Deep-Neural-Network-arxiv.tex:355-358,[redacted_for_public_release],The paper constructs sparse DBM representations for tensor network states.,high,false,false,""
APW001.limitation.rbm_complexity_barrier,evidence,limitation,RBMs cannot efficiently represent some physical states under complexity assumptions,NQSC001,2017,2017,introduction,Deep-Neural-Network-arxiv.tex:110-113,[redacted_for_public_release],The paper identifies a complexity-theoretic RBM limitation.,high,false,false,""
APW001.interpretation.depth_advantage,evidence,interpretation,Network depth gives representational advantage for quantum many-body states,NQSC001,2017,2017,discussion,Deep-Neural-Network-arxiv.tex:389-396,[redacted_for_public_release],The authors interpret their proof as explaining depth advantage in a quantum context.,high,false,false,""
APW034.paper,evidence,paper,Recurrent Neural Network Wave Functions,NQSC034,2020,2020,title,metadata:title,[redacted_for_public_release],Paper node for Hibat-Allah et al. RNN wavefunction study.,high,false,false,""
APW034.problem.nlp_variational_gap,evidence,problem,NLP sequence models had little variational-principle use in many-body physics,NQSC034,2020,2020,introduction,main.tex:98-103,[redacted_for_public_release],The paper motivates transferring RNN sequence learning into variational many-body calculations.,high,false,false,""
APW034.problem.vanilla_rnn_long_distance,evidence,limitation,Vanilla RNNs struggle with long-distance correlations,NQSC034,2020,2020,autoregressive property,main.tex:211-212,[redacted_for_public_release],The paper names long-distance correlation training as a vanilla RNN limitation.,high,false,false,""
APW034.problem.snake_2d_locality_loss,evidence,problem,Snake mapping turns local 2D correlations into nonlocal 1D correlations,NQSC034,2020,2020,two-dimensional rnn,main.tex:436-440,[redacted_for_public_release],The paper identifies 2D geometry mapping as a locality problem.,high,false,false,""
APW034.method.rnn_wavefunction_autoregressive,evidence,method,Autoregressive RNN variational wavefunctions,NQSC034,2020,2020,introduction,main.tex:103-105,[redacted_for_public_release],The method combines RNNs with variational optimization for many-body ground states.,high,false,false,""
APW034.method.twod_rnn_spatial_hidden,evidence,method,Two-dimensional RNN passes hidden vectors along spatial neighbors,NQSC034,2020,2020,two-dimensional rnn,main.tex:443-447,[redacted_for_public_release],The method adapts hidden-vector flow to 2D lattice geometry.,high,false,false,""
APW034.benchmark.spin_models,evidence,benchmark,One-dimensional and two-dimensional spin models,NQSC034,2020,2020,abstract,main.tex:74-75,[redacted_for_public_release],The paper evaluates RNN wavefunctions on condensed-matter spin models.,high,false,false,""
APW034.result.compact_competitive,evidence,result_claim,RNN wavefunctions are competitive with DMRG and PixelCNN using fewer parameters,NQSC034,2020,2020,two-dimensional rnn,main.tex:460-468,[redacted_for_public_release],The paper reports competitive energies with much smaller parameter counts.,high,false,false,""
APW034.result.bias_reduced_by_memory,evidence,result_claim,Increasing RNN memory units systematically reduces variational bias,NQSC034,2020,2020,resource scaling,main.tex:488-490,[redacted_for_public_release],The paper reports quality improvement as memory units increase.,high,false,false,""
APW034.future.attention_higher_order,evidence,future_work,Attention and higher-order optimization may improve RNN wavefunctions,NQSC034,2020,2020,conclusion,main.tex:512-516,[redacted_for_public_release],The paper proposes attention and higher-order optimization as future improvements.,high,false,false,""
APW060.paper,evidence,paper,Autoregressive neural-network wavefunctions for ab initio quantum chemistry,NQSC060,2021,2021,title,metadata:title,[redacted_for_public_release],Paper node for Barrett Malyshev and Lvovsky NAQS chemistry study.,high,false,false,""
APW060.problem.qc_nonlocal_sample_complexity,evidence,problem,Quantum chemistry has nonlocal interactions and high sample complexity,NQSC060,2021,2021,abstract,main.tex:135-137,[redacted_for_public_release],The paper frames electronic-structure NNQS as needing bespoke architecture and sampling.,high,false,false,""
APW060.problem.rbm_mcmc_blackbox,evidence,problem,RBM-based NNQS suffer inefficient sampling and weak molecular priors,NQSC060,2021,2021,introduction,main.tex:195-197,[redacted_for_public_release],The paper identifies RBM MCMC sampling and black-box priors as shortcomings.,high,false,false,""
APW060.method.arn_second_quantized_qc,evidence,method,Autoregressive neural network ansatz for second-quantized molecular wavefunctions,NQSC060,2021,2021,introduction,main.tex:199-200,[redacted_for_public_release],The method uses autoregressive factorization for molecular wavefunctions.,high,false,false,""
