edge_id,graph_layer,source_node_id,target_node_id,relation_type,evidence_paper_id,evidence_year,visible_year,evidence_source_type,evidence_location,evidence_quote,confidence,is_inferred,needs_human_check,notes
CITE.NQSC047.NQSC021,citation,FWP047.paper,FWP021.paper,paper_cites_paper,NQSC047,2021,2021,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2103.05017/draft_main.bbl:164,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC021
CITE.NQSC047.NQSC028,citation,FWP047.paper,OPW028.paper,paper_cites_paper,NQSC047,2021,2021,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2103.05017/draft_main.bbl:281,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC028
CITE.NQSC047.NQSC001,citation,FWP047.paper,APW001.paper,paper_cites_paper,NQSC047,2021,2021,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2103.05017/draft_main.bbl:117,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC001
CITE.NQSC047.NQSC003,citation,FWP047.paper,HPM003.paper,paper_cites_paper,NQSC047,2021,2021,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2103.05017/draft_main.bbl:182,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC003
CITE.NQSC047.NQSC007,citation,FWP047.paper,HPM007.paper,paper_cites_paper,NQSC047,2021,2021,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2103.05017/draft_main.bbl:142,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC007
CITE.NQSC047.NQSC011,citation,FWP047.paper,HPM011.paper,paper_cites_paper,NQSC047,2021,2021,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2103.05017/draft_main.bbl:153,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC011
CITE.NQSC078.NQSC004,citation,FWP078.paper,FWP004.paper,paper_cites_paper,NQSC078,2022,2022,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl:254,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC004
CITE.NQSC078.NQSC021,citation,FWP078.paper,FWP021.paper,paper_cites_paper,NQSC078,2022,2022,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl:108,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC021
CITE.NQSC078.NQSC001,citation,FWP078.paper,APW001.paper,paper_cites_paper,NQSC078,2022,2022,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl:114,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC001
CITE.NQSC078.NQSC034,citation,FWP078.paper,APW034.paper,paper_cites_paper,NQSC078,2022,2022,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl:143,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC034
CITE.NQSC078.NQSC026,citation,FWP078.paper,HPM026.paper,paper_cites_paper,NQSC078,2022,2022,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl:97,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC026
CITE.NQSC078.NQSC003,citation,FWP078.paper,HPM003.paper,paper_cites_paper,NQSC078,2022,2022,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl:42,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC003
CITE.NQSC078.NQSC007,citation,FWP078.paper,HPM007.paper,paper_cites_paper,NQSC078,2022,2022,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl:54,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC007
CITE.NQSC078.NQSC011,citation,FWP078.paper,HPM011.paper,paper_cites_paper,NQSC078,2022,2022,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2206.07370/main.bbl:217,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC011
CITE.NQSC122.NQSC004,citation,FWP122.paper,FWP004.paper,paper_cites_paper,NQSC122,2023,2023,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2311.16889/main.bbl:646,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC004
CITE.NQSC122.NQSC021,citation,FWP122.paper,FWP021.paper,paper_cites_paper,NQSC122,2023,2023,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2311.16889/main.bbl:658,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC021
CITE.NQSC122.NQSC034,citation,FWP122.paper,APW034.paper,paper_cites_paper,NQSC122,2023,2023,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2311.16889/main.bbl:537,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC034
CITE.NQSC122.NQSC083,citation,FWP122.paper,HPM083.paper,paper_cites_paper,NQSC122,2023,2023,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2311.16889/main.bbl:575,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC083
CITE.NQSC016.NQSC015,citation,OPW016.paper,DTO015.paper,paper_cites_paper,NQSC016,2019,2019,reference_list,extraction_waves/optimization_pilot_wave_v0/text/1902.09483/citation_backfill_thebibliography.bbl:622,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC015
CITE.NQSC028.NQSC004,citation,OPW028.paper,FWP004.paper,paper_cites_paper,NQSC028,2019,2019,reference_list,extraction_waves/optimization_pilot_wave_v0/text/1910.11163/citation_backfill_thebibliography.bbl:122,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC004
CITE.NQSC028.NQSC001,citation,OPW028.paper,APW001.paper,paper_cites_paper,NQSC028,2019,2019,reference_list,extraction_waves/optimization_pilot_wave_v0/text/1910.11163/citation_backfill_thebibliography.bbl:435,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC001
CITE.NQSC053.NQSC026,citation,OPW053.paper,HPM026.paper,paper_cites_paper,NQSC053,2021,2021,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2104.11011/main.bbl:59,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC026
CITE.NQSC085.NQSC034,citation,OPW085.paper,APW034.paper,paper_cites_paper,NQSC085,2022,2022,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2208.05637/main.bbl:82,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC034
CITE.NQSC085.NQSC060,citation,OPW085.paper,APW060.paper,paper_cites_paper,NQSC085,2022,2022,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2208.05637/main.bbl:25,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC060
CITE.NQSC085.NQSC026,citation,OPW085.paper,HPM026.paper,paper_cites_paper,NQSC085,2022,2022,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2208.05637/main.bbl:19,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC026
CITE.NQSC109.NQSC085,citation,OPW109.paper,OPW085.paper,paper_cites_paper,NQSC109,2023,2023,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2306.16705/Manuscript.bbl:159,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC085
CITE.NQSC109.NQSC001,citation,OPW109.paper,APW001.paper,paper_cites_paper,NQSC109,2023,2023,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2306.16705/Manuscript.bbl:143,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC001
CITE.NQSC109.NQSC060,citation,OPW109.paper,APW060.paper,paper_cites_paper,NQSC109,2023,2023,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2306.16705/Manuscript.bbl:154,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC060
CITE.NQSC109.NQSC026,citation,OPW109.paper,HPM026.paper,paper_cites_paper,NQSC109,2023,2023,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2306.16705/Manuscript.bbl:148,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC026
CITE.NQSC109.NQSC030,citation,OPW109.paper,HPM030.paper,paper_cites_paper,NQSC109,2023,2023,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2306.16705/Manuscript.bbl:99,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC030
CITE.NQSC109.NQSC041,citation,OPW109.paper,DTO041.paper,paper_cites_paper,NQSC109,2023,2023,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2306.16705/Manuscript.bbl:104,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC041
CITE.NQSC150.NQSC001,citation,OPW150.paper,APW001.paper,paper_cites_paper,NQSC150,2024,2024,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2411.07144/main.bbl:106,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC001
CITE.NQSC150.NQSC034,citation,OPW150.paper,APW034.paper,paper_cites_paper,NQSC150,2024,2024,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2411.07144/main.bbl:136,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC034
CITE.NQSC150.NQSC011,citation,OPW150.paper,HPM011.paper,paper_cites_paper,NQSC150,2024,2024,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2411.07144/main.bbl:196,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC011
CITE.NQSC150.NQSC059,citation,OPW150.paper,HPM059.paper,paper_cites_paper,NQSC150,2024,2024,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2411.07144/main.bbl:214,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC059
CITE.NQSC150.NQSC120,citation,OPW150.paper,NQSC120.paper,paper_cites_paper,NQSC150,2024,2024,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2411.07144/main.bbl:190,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC120
CITE.NQSC150.NQSC127,citation,OPW150.paper,NQSC127.paper.01,paper_cites_paper,NQSC150,2024,2024,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2411.07144/main.bbl:88,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC127
CITE.NQSC150.NQSC077,citation,OPW150.paper,DTO077.paper,paper_cites_paper,NQSC150,2024,2024,reference_list,extraction_waves/optimization_pilot_wave_v0/text/2411.07144/main.bbl:70,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC077
CITE.NQSC034.NQSC026,citation,APW034.paper,HPM026.paper,paper_cites_paper,NQSC034,2020,2020,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2002.02973/citation_backfill_thebibliography.bbl:955,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC026
CITE.NQSC034.NQSC013,citation,APW034.paper,DTO013.paper,paper_cites_paper,NQSC034,2020,2020,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2002.02973/citation_backfill_thebibliography.bbl:418,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC013
CITE.NQSC034.NQSC077,citation,APW034.paper,DTO077.paper,paper_cites_paper,NQSC034,2020,2020,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2002.02973/citation_backfill_thebibliography.bbl:584,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC077
CITE.NQSC060.NQSC024,citation,APW060.paper,CSSA024.paper,paper_cites_paper,NQSC060,2021,2021,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2109.12606/main.bbl:396,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC024
CITE.NQSC060.NQSC025,citation,APW060.paper,CSSA025.paper,paper_cites_paper,NQSC060,2021,2021,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2109.12606/main.bbl:406,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC025
CITE.NQSC060.NQSC040,citation,APW060.paper,DTO040.paper,paper_cites_paper,NQSC060,2021,2021,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2109.12606/main.bbl:268,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC040
CITE.NQSC090.NQSC026,citation,APW090.paper,HPM026.paper,paper_cites_paper,NQSC090,2022,2022,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2211.13672/main_revtex.bbl:72,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC026
CITE.NQSC090.NQSC011,citation,APW090.paper,HPM011.paper,paper_cites_paper,NQSC090,2022,2022,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2211.13672/main_revtex.bbl:264,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC011
CITE.NQSC090.NQSC069,citation,APW090.paper,NQSC069.paper,paper_cites_paper,NQSC090,2022,2022,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2211.13672/main_revtex.bbl:261,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC069
CITE.NQSC153.NQSC047,citation,APW153.paper,FWP047.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:58,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC047
CITE.NQSC153.NQSC122,citation,APW153.paper,FWP122.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:135,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC122
CITE.NQSC153.NQSC109,citation,APW153.paper,OPW109.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:186,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC109
CITE.NQSC153.NQSC150,citation,APW153.paper,OPW150.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:96,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC150
CITE.NQSC153.NQSC034,citation,APW153.paper,APW034.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:118,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC034
CITE.NQSC153.NQSC060,citation,APW153.paper,APW060.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:157,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC060
CITE.NQSC153.NQSC026,citation,APW153.paper,HPM026.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:172,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC026
CITE.NQSC153.NQSC011,citation,APW153.paper,HPM011.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:124,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC011
CITE.NQSC153.NQSC117,citation,APW153.paper,HPM117.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:162,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC117
CITE.NQSC153.NQSC106,citation,APW153.paper,NQSC106.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:229,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC106
CITE.NQSC153.NQSC127,citation,APW153.paper,NQSC127.paper.01,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:64,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC127
CITE.NQSC153.NQSC145,citation,APW153.paper,CSSA145.paper,paper_cites_paper,NQSC153,2024,2024,reference_list,extraction_waves/architecture_pilot_wave_v0/text/2412.12248/draft_1.bbl:165,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC145
CITE.NQSC026.NQSC021,citation,HPM026.paper,FWP021.paper,paper_cites_paper,NQSC026,2019,2019,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1909.12852/main.bbl:265,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC021
CITE.NQSC026.NQSC002,citation,HPM026.paper,HPM002.paper,paper_cites_paper,NQSC026,2019,2019,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1909.12852/main.bbl:345,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC002
CITE.NQSC026.NQSC024,citation,HPM026.paper,CSSA024.paper,paper_cites_paper,NQSC026,2019,2019,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1909.12852/main.bbl:191,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC024
CITE.NQSC026.NQSC025,citation,HPM026.paper,CSSA025.paper,paper_cites_paper,NQSC026,2019,2019,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1909.12852/main.bbl:201,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC025
CITE.NQSC002.NQSC001,citation,HPM002.paper,APW001.paper,paper_cites_paper,NQSC002,2017,2017,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1701.06246/neuron_prl.bbl:1213,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC001
CITE.NQSC002.NQSC007,citation,HPM002.paper,HPM007.paper,paper_cites_paper,NQSC002,2017,2017,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1701.06246/neuron_prl.bbl:1440,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC007
CITE.NQSC003.NQSC001,citation,HPM003.paper,APW001.paper,paper_cites_paper,NQSC003,2017,2017,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1704.05148/citation_backfill_thebibliography.bbl:385,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC001
CITE.NQSC003.NQSC002,citation,HPM003.paper,HPM002.paper,paper_cites_paper,NQSC003,2017,2017,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1704.05148/citation_backfill_thebibliography.bbl:406,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC002
CITE.NQSC030.NQSC028,citation,HPM030.paper,OPW028.paper,paper_cites_paper,NQSC030,2019,2019,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1912.08828/main.bbl:759,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC028
CITE.NQSC030.NQSC031,citation,HPM030.paper,DTO031.paper,paper_cites_paper,NQSC030,2019,2019,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1912.08828/main.bbl:840,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC031
CITE.NQSC083.NQSC034,citation,HPM083.paper,APW034.paper,paper_cites_paper,NQSC083,2022,2022,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2207.14314/main.bbl:10,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC034
CITE.NQSC083.NQSC026,citation,HPM083.paper,HPM026.paper,paper_cites_paper,NQSC083,2022,2022,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2207.14314/main.bbl:103,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC026
CITE.NQSC083.NQSC003,citation,HPM083.paper,HPM003.paper,paper_cites_paper,NQSC083,2022,2022,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2207.14314/main.bbl:69,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC003
CITE.NQSC083.NQSC011,citation,HPM083.paper,HPM011.paper,paper_cites_paper,NQSC083,2022,2022,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2207.14314/main.bbl:77,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC011
CITE.NQSC083.NQSC013,citation,HPM083.paper,DTO013.paper,paper_cites_paper,NQSC083,2022,2022,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2207.14314/main.bbl:59,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC013
CITE.NQSC083.NQSC077,citation,HPM083.paper,DTO077.paper,paper_cites_paper,NQSC083,2022,2022,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2207.14314/main.bbl:52,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC077
CITE.NQSC007.NQSC004,citation,HPM007.paper,FWP004.paper,paper_cites_paper,NQSC007,2018,2018,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl:184,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC004
CITE.NQSC007.NQSC001,citation,HPM007.paper,APW001.paper,paper_cites_paper,NQSC007,2018,2018,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl:287,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC001
CITE.NQSC007.NQSC002,citation,HPM007.paper,HPM002.paper,paper_cites_paper,NQSC007,2018,2018,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl:298,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC002
CITE.NQSC007.NQSC003,citation,HPM007.paper,HPM003.paper,paper_cites_paper,NQSC007,2018,2018,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1802.09558/citation_backfill_thebibliography.bbl:235,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC003
CITE.NQSC010.NQSC077,citation,HPM010.paper,DTO077.paper,paper_cites_paper,NQSC010,2018,2018,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1807.07445/citation_backfill_thebibliography.bbl:169,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC077
CITE.NQSC011.NQSC002,citation,HPM011.paper,HPM002.paper,paper_cites_paper,NQSC011,2018,2018,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1807.10770/main.bbl:361,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC002
CITE.NQSC011.NQSC007,citation,HPM011.paper,HPM007.paper,paper_cites_paper,NQSC011,2018,2018,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/1807.10770/main.bbl:283,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC007
CITE.NQSC037.NQSC004,citation,HPM037.paper,FWP004.paper,paper_cites_paper,NQSC037,2020,2020,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2007.14282/main.bbl:270,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC004
CITE.NQSC037.NQSC021,citation,HPM037.paper,FWP021.paper,paper_cites_paper,NQSC037,2020,2020,reference_list,extraction_waves/high_priority_mixed_coverage_wave_v0/text/2007.14282/main.bbl:360,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC021
